"Pulse Width" "FSC" "SSC" "FITC "PE" "PE-Cy5"  "PE-Cy7"  "APC"  "APC-Cy7"  "Raw Time"
2015	2117	404	1232	602	1439	1142	2308	2038	1
2047	2524	956	1491	899	1636	1336	2605	2231	1
2191	2974	620	1212	522	1316	784	2407	1978	1
1823	1674	393	783	454	159	576	406	233	1
2447	3323	1541	1686	1076	1744	1528	2794	2411	1
447	88	53	624	368	384	346	1235	938	1
2367	2696	2515	1350	713	2084	1754	3061	2709	1
1967	2017	2899	1418	740	1960	1401	3162	2762	1
1935	2285	2181	1531	742	2012	1524	3189	2857	1
1871	1786	530	1064	185	476	683	834	667	1
1951	2306	1862	1484	783	1435	1000	2628	2214	1
1935	1967	2145	1283	932	1880	1632	3088	2705	1
2719	4095	4095	1915	1308	2270	2000	3462	3126	1
559	77	114	690	363	785	515	1966	1648	1
2079	2648	2102	1268	824	1750	1349	2864	2492	1
2031	2025	682	951	377	1518	1131	2557	2156	1
1967	2406	1708	1343	903	1784	1320	3011	2721	1
1967	1797	1117	1392	471	1946	1354	3008	2590	1
1311	216	270	2219	1465	1699	1643	92	300	1
1807	977	1697	3874	3034	3009	2798	468	809	1
1887	2120	3639	1486	759	2031	1657	3273	2943	1
1791	1493	258	550	169	157	48	199	455	1
1951	1780	1830	1379	691	1862	1325	3018	2652	1
2383	3502	2587	1758	1226	1849	1391	2937	2644	1
1935	1747	2432	1303	667	1890	1104	3068	2740	1
1871	1699	2759	1601	910	1956	1541	3184	2766	1
1919	2111	1242	1292	844	1343	863	2422	2110	1
1455	249	182	1142	493	284	744	442	76	1
1951	1978	1194	1514	894	1105	953	2195	1870	1
1855	2002	1651	1194	690	1766	1228	3040	2635	1
1807	1777	375	717	477	428	166	405	320	1
1935	2438	2945	1401	826	1858	1493	3059	2610	1
1903	2249	2830	1209	730	1694	1191	2919	2390	1
2207	2772	907	1528	724	780	476	778	492	1
1871	1509	2121	1311	673	2097	1815	3187	2860	1
1823	1632	619	923	524	493	706	604	406	1
1823	1571	300	1128	639	137	47	256	481	1
1887	1981	1061	1384	686	1174	891	2354	2086	1
1951	2452	844	1270	753	1335	656	2377	1929	1
1887	2067	1621	1152	824	1691	798	2832	2474	1
1999	1678	935	1032	555	1719	1218	2737	2311	1
2031	1495	3952	1727	1245	1635	1275	1217	241	1
1967	1850	389	986	552	1417	736	2298	2003	1
1903	1814	2968	1471	956	1808	1393	2984	2700	1
1983	2071	1093	1064	648	1769	1282	2774	2362	1
2543	3526	1804	1724	978	1901	1620	3073	2713	1
495	70	42	570	74	473	499	1459	1127	1
1967	2718	1381	1566	786	1975	1467	3193	2776	1
1903	1777	1497	1209	493	1487	1240	2698	2332	1
1983	2133	2732	1243	822	1961	1660	3133	2795	1
2063	2452	2942	1258	436	2048	1338	3126	2786	1
1327	232	506	2644	1855	1992	1640	205	284	2
1903	1460	1597	1208	443	1557	1390	2591	2109	2
1839	1448	328	658	318	458	744	1079	683	2
2175	2757	671	1316	704	420	838	609	518	2
1887	1707	2994	1416	920	1733	1552	2975	2609	2
1999	2660	3288	1350	824	2059	1816	3257	2899	2
1999	1960	985	917	781	1445	1108	2596	2228	2
1807	1603	468	685	402	132	133	1128	716	2
2159	3443	803	1150	628	578	704	1424	808	2
1871	1514	457	803	499	126	620	240	748	2
1839	1688	571	894	609	531	152	190	213	2
1919	1805	2145	1464	555	2117	1518	3270	2885	2
1823	1266	228	234	216	213	483	272	353	2
1903	2110	1607	1440	760	1807	1343	3024	2612	2
1807	1523	409	863	464	230	743	337	136	2
2223	3459	2396	1575	1073	1383	1058	2481	2091	2
1935	2294	2468	1327	936	1888	1449	3139	2838	2
1823	1601	333	675	215	239	556	329	881	2
1199	150	346	2184	1365	1241	452	416	414	2
1903	2029	755	1280	348	1376	472	2613	2196	2
1791	1627	499	946	552	406	136	208	261	2
1951	2291	2143	1218	927	1986	1564	3199	2830	2
1935	1818	2316	1337	742	2003	1525	3136	2825	2
2031	1806	2612	1911	1184	1217	1276	577	807	2
1919	1822	1187	1441	693	1683	1308	2866	2431	2
1951	2168	1775	1396	886	1920	1514	3104	2717	2
1791	1476	272	891	178	0	68	200	195	2
1919	1955	1831	1592	822	1822	1302	3026	2627	2
1951	2077	3159	1103	746	1785	1575	3017	2704	2
783	67	123	1281	1071	1241	1520	184	1008	2
2015	3029	3012	1203	829	2042	1114	3276	2974	2
1919	1652	2285	1213	753	1809	1327	2977	2673	2
1791	1538	610	1257	409	220	829	503	556	2
1951	1566	3969	1768	1175	1138	802	1095	217	2
1663	636	110	1051	451	209	376	205	105	2
1919	1889	2630	1571	834	2053	1595	3281	2870	2
1967	2007	2395	1365	421	1955	1589	3200	2860	2
1903	1671	2141	1349	874	1820	1331	2892	2532	2
879	69	1130	1992	1687	1742	1909	853	1299	2
2399	3851	2686	1494	862	2040	1640	3248	2860	2
1999	2010	677	1113	560	478	122	787	847	2
1967	2503	3273	1499	862	1839	1128	3024	2637	2
1487	237	153	1084	390	456	421	548	411	2
1999	2103	2089	1275	695	1779	1230	2882	2525	2
1967	1744	1391	1095	786	1718	1462	2740	2352	2
1999	1904	2080	1392	782	2121	1653	3118	2716	2
1695	232	293	1367	513	550	606	271	396	2
1903	1817	394	907	344	907	718	2007	1659	2
1935	1484	1972	1229	437	1910	1677	2999	2599	2
1999	1736	1127	1300	505	1551	1374	2583	2232	2
1775	1238	297	1003	386	262	0	83	317	2
1871	1666	2120	1431	819	1772	1489	3054	2718	2
2687	4095	4095	2846	2432	2570	2621	3467	3114	2
495	74	94	1227	700	913	980	1795	1555	2
1903	1759	2239	1140	708	1372	1050	2487	2174	2
1967	2643	2762	1238	914	2094	1693	3286	2924	2
1967	1703	1405	1250	681	1806	1512	2836	2442	2
1903	1941	793	1514	1035	1203	1152	1109	1347	2
1935	1859	725	1286	643	1472	1184	2618	2216	2
1919	1926	2522	1172	841	1866	1612	3161	2746	2
1903	2101	904	1528	1016	1172	682	2208	1939	2
1919	1932	2067	1340	723	1858	1388	3078	2720	2
1919	1981	1165	1168	546	1824	1252	3031	2658	2
1967	1848	943	1100	831	1795	1424	2863	2492	2
1359	191	333	1306	608	357	699	11	330	2
1503	411	114	1216	749	802	54	272	760	2
1855	1840	1055	1181	549	1628	932	2752	2264	2
1951	1878	1592	1357	714	1832	1360	3037	2702	2
2015	2008	1458	1151	515	1839	1416	2912	2526	2
2063	3299	1235	1638	960	1582	1365	2738	2281	3
1983	2043	3990	1559	1060	910	821	1094	926	3
1967	1771	795	1280	366	1710	1120	2771	2455	3
2095	2552	1826	1684	1065	1365	1204	2109	1802	3
1871	1385	292	1056	359	318	152	264	204	3
1967	1940	1854	1341	730	1822	1643	3019	2658	3
1935	1932	3851	1462	1008	2026	1599	3257	2812	3
1743	759	1391	1500	852	1760	1361	2844	2508	3
1951	1842	1695	1023	625	1785	1293	3018	2717	3
2015	2939	2818	1410	795	1796	1641	3024	2661	3
1967	1873	1812	1567	879	1677	1172	2913	2501	3
1951	2422	2678	1425	866	1927	1316	3156	2792	3
1951	2204	3532	1478	804	1225	1198	2162	1811	3
1951	1919	1119	1112	690	1534	1234	2671	2271	3
1839	1700	474	787	166	232	84	523	745	3
2415	3762	3358	1460	810	2052	1464	3275	2899	3
1967	2216	642	1268	480	362	983	490	914	3
1919	2290	2367	1367	789	1718	1271	2902	2545	3
1951	2630	1398	1410	883	1438	741	2522	2196	3
1823	1764	541	926	113	371	471	320	590	3
2047	2498	1390	1728	1165	1496	1208	2508	2011	3
1823	1474	278	738	401	157	649	378	161	3
1823	1727	571	903	469	339	226	620	572	3
2287	3576	1751	1736	962	1867	1386	3077	2788	3
1951	2342	2020	1503	826	1881	1246	3091	2722	3
1823	1526	436	1111	346	424	576	429	49	3
2095	3541	1459	1610	983	1396	1043	2365	1935	3
2271	3224	4095	1852	1155	2227	1613	3473	3087	3
1919	1511	2129	1231	727	1899	1542	3093	2782	3
